Precipitation,Global_Radiation,Avarage_Atmospheric_Pressure,Avarage_Temperature,Avarage_Dew_Temperature,Avarage_Relative_Humidity,Avarage_Wind_Speed
0.0,0.1,929.3,12.15,12.100000000000001,100.0,2.7
0.0,5.0,929.75,12.350000000000001,12.350000000000001,100.0,2.45
0.0,135.8,930.2,12.55,12.55,100.0,2.5
0.0,488.0,930.4,13.35,13.35,100.0,2.9
0.0,1631.1,930.6,15.5,13.65,89.5,3.05
0.0,2133.1,930.45,18.05,13.0,73.0,3.05
0.0,2374.0,929.75,20.85,12.350000000000001,60.0,3.1500000000000004
0.0,2400.6,928.8,23.8,11.0,46.5,3.7
0.0,2270.1,927.9,26.15,7.699999999999999,31.5,5.0
0.0,1920.9,927.45,26.8,5.65,27.0,4.65
0.0,825.5,927.7,23.9,10.3,44.5,4.5
0.0,414.3,928.2,20.75,12.3,57.5,4.9
0.0,75.8,928.4,19.2,13.1,69.0,3.3499999999999996
0.0,6.2,929.75,12.5,12.45,100.0,1.2
0.0,325.3,930.2,13.75,13.8,100.0,0.8999999999999999
0.0,1016.2,930.65,16.1,14.149999999999999,89.0,1.5
0.0,1640.3,931.05,19.1,13.3,69.5,1.8499999999999999
0.0,2089.4,931.05,21.950000000000003,10.75,52.5,1.9000000000000001
0.0,2362.0,930.75,23.2,9.25,40.5,3.1500000000000004
0.0,2503.8,930.35,23.950000000000003,6.85,34.0,3.3
0.0,2346.8,929.75,24.3,8.75,37.5,3.6
0.0,1918.9,929.2,24.15,9.35,39.5,3.35
0.0,1286.9,928.95,23.7,8.75,38.5,3.8499999999999996
0.0,628.0,929.0,22.25,11.4,49.5,3.8499999999999996
0.0,72.0,929.25,20.25,12.05,59.5,2.8499999999999996
0.0,6.6,930.4000000000001,13.6,13.6,100.0,2.65
0.0,275.7,930.75,13.95,13.95,100.0,2.45
0.0,1032.5,931.15,14.850000000000001,14.8,97.0,4.05
0.0,1673.6,931.7,16.200000000000003,14.55,90.5,4.2
0.0,2133.6,931.7,17.7,14.45,80.0,4.7
0.0,2444.1,931.2,18.9,13.95,73.0,4.2
0.0,2497.8,930.4,20.3,13.35,64.5,4.0
0.0,2329.7,929.55,21.1,12.75,58.0,4.65
0.0,1925.1,928.95,21.0,12.9,60.5,5.55
0.0,1352.8,928.7,20.1,14.25,69.5,5.55
0.0,659.6,928.55,18.450000000000003,15.05,80.5,5.699999999999999
0.0,78.8,928.7,16.9,15.6,92.0,4.2
0.0,5.4,926.8499999999999,14.399999999999999,14.399999999999999,100.0,2.45
0.0,277.5,927.7,14.8,14.8,100.0,1.9500000000000002
0.0,946.5,928.15,16.4,15.4,93.5,2.7
0.0,1385.5,928.35,18.799999999999997,15.2,79.0,2.1500000000000004
0.0,2022.7,928.15,22.2,13.3,59.0,3.4
0.0,2005.8,927.3499999999999,24.85,10.75,42.0,5.35
0.0,2209.1,926.4,26.55,8.35,31.5,6.25
0.0,2297.4,925.3499999999999,27.799999999999997,7.3,27.0,6.85
0.0,1969.6,924.4,28.25,6.8,25.5,6.800000000000001
0.0,1421.0,923.95,28.8,6.35,24.5,6.699999999999999
0.0,621.0,923.75,27.65,6.1,25.5,5.65
0.0,80.6,924.15,25.95,6.6,29.5,3.9
0.0,8.0,924.7,17.799999999999997,9.899999999999999,60.0,2.95
0.0,320.3,925.15,19.1,9.05,52.0,3.0999999999999996
0.0,1000.1,925.75,21.15,8.7,44.5,4.65
0.0,1593.9,926.25,23.549999999999997,8.45,38.0,4.65
0.0,1004.5,926.5,25.05,8.55,35.5,4.25
0.0,1590.1,926.65,22.950000000000003,12.2,52.5,5.05
0.0,1138.8,926.55,21.45,14.95,66.5,5.7
0.0,826.3,926.55,19.15,14.100000000000001,73.0,5.25
0.0,363.1,926.55,17.2,14.5,85.5,5.65
5.2,105.1,927.3,15.350000000000001,15.3,99.0,5.5
0.8,145.3,927.1,14.85,14.8,100.0,6.4
0.4,21.8,928.0,14.25,14.2,100.0,5.2
0.0,0.3,929.55,13.6,13.25,97.5,4.1499999999999995
0.0,10.5,930.3,13.25,12.600000000000001,96.0,4.8
0.0,140.2,930.55,13.15,12.55,95.0,5.35
0.0,337.7,931.0,13.75,13.2,96.5,5.65
0.0,321.4,931.4000000000001,14.100000000000001,13.55,96.5,4.8
0.0,443.6,931.4000000000001,14.350000000000001,14.2,97.5,4.85
0.0,610.5,930.9,15.100000000000001,14.25,94.5,4.55
0.0,436.4,930.1,14.95,14.55,96.5,4.1
0.0,400.3,929.2,14.45,14.45,100.0,4.3
0.0,189.2,928.5999999999999,14.350000000000001,14.3,100.0,4.65
0.0,189.3,928.0,14.05,14.05,100.0,5.3
0.0,105.5,927.85,14.2,14.149999999999999,100.0,4.9
0.0,16.9,928.05,14.100000000000001,14.100000000000001,100.0,5.35
0.0,0.8,926.75,15.05,15.05,100.0,2.95
0.0,59.7,927.6,15.0,15.0,100.0,3.55
0.0,167.0,928.8,15.3,15.3,100.0,3.4499999999999997
0.0,258.2,929.5999999999999,15.7,15.7,100.0,4.4
0.0,251.3,930.1,16.25,16.25,100.0,4.0
0.0,256.4,930.25,16.4,16.4,100.0,3.95
0.0,515.5,929.5,16.4,16.4,100.0,3.35
0.0,732.9,928.55,17.299999999999997,17.2,97.0,2.25
0.0,544.8,927.65,17.95,16.799999999999997,92.0,1.95
0.0,605.0,927.2,18.7,16.5,87.5,2.0
0.0,347.0,927.3,18.65,16.55,86.5,1.3
0.0,36.2,927.7,17.95,16.35,89.5,1.1
0.2,3.7,928.35,15.25,15.25,100.0,2.4
0.2,81.6,928.55,15.65,15.65,100.0,4.2
0.0,273.7,929.2,16.200000000000003,16.200000000000003,100.0,3.3499999999999996
0.2,360.0,929.55,16.9,16.9,100.0,3.45
0.0,564.9,930.05,17.55,17.15,95.5,4.949999999999999
0.0,1549.5,929.65,19.1,16.9,87.0,5.75
0.0,1169.3,929.35,20.1,16.5,79.5,5.95
0.0,957.9,928.7,20.4,16.3,77.0,5.35
0.0,702.2,928.45,20.7,16.450000000000003,76.5,4.3
0.0,309.9,928.4,20.4,16.4,78.0,3.0
0.0,202.0,928.55,20.0,16.549999999999997,81.0,2.25
0.0,13.2,929.0999999999999,17.95,16.95,91.0,4.85
0.0,4.4,929.8,14.9,14.9,100.0,2.35
0.0,47.3,930.5,15.2,15.2,100.0,1.75
0.0,187.5,931.05,15.65,15.65,100.0,2.45
0.0,286.8,931.35,15.8,15.8,100.0,3.0
0.0,292.0,931.25,15.8,15.8,100.0,3.0
0.0,392.5,930.7,15.600000000000001,15.600000000000001,100.0,3.3
0.0,578.2,929.95,16.1,16.049999999999997,100.0,3.5
0.0,778.1,929.3,16.85,16.549999999999997,97.0,3.3
0.0,691.4,928.5999999999999,17.1,16.6,96.5,3.35
0.0,330.4,928.0999999999999,16.65,16.65,100.0,3.0999999999999996
0.0,194.6,927.9000000000001,16.4,16.4,100.0,2.35
0.0,48.9,927.85,16.15,16.15,100.0,2.3
0.0,3.5,923.1,16.299999999999997,16.299999999999997,100.0,6.15
0.4,73.5,923.65,15.100000000000001,14.7,97.0,8.4
0.0,356.9,924.6500000000001,14.0,13.0,93.0,7.35
0.0,731.0,924.85,14.7,12.35,87.0,8.3
0.0,1197.5,925.05,14.7,10.350000000000001,74.0,9.100000000000001
0.0,2224.4,924.45,15.8,8.0,59.5,10.25
0.0,2004.3,923.75,16.45,6.1,51.0,11.75
0.0,1940.0,923.05,16.85,3.9000000000000004,42.5,10.9
0.0,1855.4,922.45,17.15,2.4,36.5,13.25
0.0,1473.7,922.45,16.9,1.1,34.5,12.95
0.0,762.6,923.0,15.95,0.39999999999999997,34.0,12.15
0.0,55.9,924.05,14.55,1.9,42.5,11.95
0.2,5.5,929.85,10.4,10.4,100.0,4.35
0.0,221.4,930.5,11.05,11.0,99.5,3.8
0.0,766.3,931.3,12.1,11.2,94.5,5.55
